year,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,key,BPM,qualified_10,Rank
2023,1,1,20,Norway,Alessandra,Queen of Kings,English,Pop,Female,E Minor,110,1,
2023,1,2,,Malta,The Busker,Dance (Our Own Party),English,Pop,Male,F Minor,103,0,
2023,1,3,5,Serbia,Luke Black,Samo mi se spava,"Serbian, English",Pop,Male,A Major,103,1,
2023,1,4,,Latvia,Sudden Lights,Aija,English,Rock,Male,A Minor,160,0,
2023,1,5,2,Portugal,Mimicat,Ai cora��o,Portuguese,Pop,Female,Fs Minor,145,1,
2023,1,6,,Ireland,Wild Youth,We Are One,English,Rock,Male,D Major,112,0,
2023,1,7,25,Croatia,Let 3,Mama �C!,Croatian,Pop,Male,C Major,135,0,
2023,1,8,3,Switzerland,Remo Forrer,Watergun,English,Ballad,Male,Ab Minor,130,1,
2023,1,9,23,Israel,Noa Kirel,Unicorn,English,Pop,Female,Fs Minor,130,1,
2023,1,10,18,Moldova,Pasha Parfeni,Soarele si luna,Romanian,Traditional,Male,Ab Major,125,1,
2023,1,11,9,Sweden,Loreen,Tattoo,English,Pop,Female,Eb Minor,150,1,1
2023,1,12,,Azerbaijan,TuralTuranX,Tell Me More,English,Pop,Male,D Major,96,0,
2023,1,13,14,Czech Republic,Vesna,My Sister's Crown,"English,�Ukrainian,�Czech,�Bulgarian",Pop,Female,E Minor,150,1,
2023,1,14,,Netherlands,Mia Nicolai�and�Dion Cooper,Burning Daylight,English,Ballad,Mix,Eb Major,71,0,
2023,1,15,13,Finland,K��rij�,Cha Cha Cha,Finnish,Pop,Male,D Major,155,1,
2023,2,1,,Denmark,Reiley,Breaking My Heart,English,Pop,Male,D Major,194,0,
2023,2,2,17,Armenia,Brunette,Future Lover,"English,�Armenian",Ballad,Female,D Minor,103,1,
2023,2,3,,Romania,Theodor Andrei,D.G.T. (Off and On),"Romanian, English",Pop,Male,A Minor,110,0,
2023,2,4,12,Estonia,Alika,Bridges,English,Ballad,Female,C Minor,140,1,
2023,2,5,16,Belgium,Gustaph,Because of You,English,Pop,Male,C Minor,127,1,
2023,2,6,7,Cyprus,Andrew Lambrou,Break a Broken Heart,English,Ballad,Male,Eb Minor,130,1,
2023,2,7,,Iceland,Dilj�,Power,English,Pop,Female,F Minor,160,0,
2023,2,8,,Greece,Victor Vernicos,What They Say,English,Pop,Male,C Major,154,0,
2023,2,9,4,Poland,Blanka,Solo,English,Pop,Female,B Minor,99,1,
2023,2,10,24,Slovenia,Joker Out,Carpe Diem,Slovene,Rock,Male,Cs Minor,132,1,
2023,2,11,,Georgia,Iru,Echo,English,Ballad,Female,G Minor,145,0,
2023,2,12,,San Marino,Piqued Jacks,Like an Animal,English,Rock,Male,C Major,128,0,
2023,2,13,1,Austria,Teya�and�Salena,Who the Hell Is Edgar?,English,Pop,Female,B Minor,146,1,
2023,2,14,10,Albania,Albina�and Familja Kelmendi,Duje,Albanian,Traditional,Female,D Minor,110,1,
2023,2,15,22,Lithuania,Monika Linkyte,Stay,English,Ballad,Female,B Major,98,1,
2023,2,16,15,Australia,Voyager,Promise,English,Rock,Male,C Major,122,1,9
2023,-,-,6,France,La Zarra,�videmment,French,Ballad,Female,B Major,120,-,
2023,-,-,8,Spain,Blanca Paloma,Eaea,Spanish,Traditional,Female,F Minor,116,-,
2023,-,-,11,Italy,Marco Mengoni,Due vite,Italian,Ballad,Male,D Major,117,-,
2023,-,-,19,Ukraine,Tvorchi,Heart of Steel,"English, Ukrainian",Pop,Male,Ab Minor,78,-,
2023,-,-,21,Germany,Lord of the Lost,Blood & Glitter,English,Rock,Male,A Minor,139,-,
2023,-,-,26,United Kingdom,Mae Muller,I Wrote a Song,English,Pop,Female,A Minor,125,-,
2022,1,1,-,Albania,Ronela Hajati,Sekret,"Albanian, English",Pop,Female,F Minor,100,0,
2022,1,2,-,Latvia,Citi Zeni,Eat Your Salad,English,Pop,Male,B Minor,115,0,
2022,1,3,14,Lithuania,Monika Liu,Sentimentai,Lithuanian,Ballad,Female,C Major,93,1,
2022,1,4,5,Switzerland,Marius Bear,Boys Do Cry,English,Ballad,Male,F Major,116,1,
2022,1,5,-,Slovenia,LPS,Disko,Slovene,Pop,Male,E Minor,120,0,
2022,1,6,12,Ukraine,Kalush Orchestra,Stefania,Ukrainian,Traditional,Male,D Major,105,1,1
2022,1,7,-,Bulgaria,Intelligent Music Project,Intention,English,Rock,Male,D Major,80,0,
2022,1,8,11,Netherlands,S10,De diepte,Dutch,Ballad,Female,D Minor,87,1,
2022,1,9,19,Moldova,Zdob si Zdub�and�Advahov Brothers,Trenuletul,"Romanian, English",Traditional,Male,C Major,142,1,
2022,1,10,3,Portugal,Maro,"Saudade, saudade","English,�Portuguese",Ballad,Female,Bb Minor,83,1,
2022,1,11,-,Croatia,Mia Dimsic,Guilty Pleasure,"English,�Croatian",Ballad,Female,F Major,84,0,
2022,1,12,-,Denmark,Reddi,The Show,English,Rock,Female,C Major,90,0,
2022,1,13,-,Austria,Lumix�feat.�Pia Maria,Halo,English,Dance,Female,Ab Major,150,0,
2022,1,14,18,Iceland,Systur,Meo aekkandi sol,Icelandic,Traditional,Female,D Minor,100,1,
2022,1,15,17,Greece,Amanda Georgiadi Tenfjord,Die Together,English,Ballad,Female,F Major,150,1,
2022,1,16,7,Norway,Subwoolfer,Give That Wolf a Banana,English,Pop,Male,G Minor,124,1,
2022,1,17,8,Armenia,Rosa Linn,Snap,English,Ballad,Female,C Major,170,1,
2022,2,1,4,Finland,The Rasmus,Jezebel,English,Rock,Male,B Minor,116,1,
