Year,Type,Place,Max Points Available,Points,Start No.,Performer,Song,Spotify streams
2026,F,4(25),828,287,8,Delta Goodrem,Eclipse,"570000"
2026,SF2,3(15),444,222,11,Delta Goodrem,Eclipse,"570000"
2025,SF2,11 (16),444,41,1,Go-Jo,Milkshake Man,"450000"
2024,SF1,11 (15),420,41,13,Electric Fields,One Milkali (One Blood),"55000"
2023,F,9 (26),876,151,15,Voyager,Promise,"55000"
2023,SF2,1 (16),444,149,16,Voyager,Promise,"55000"
2022,F,15 (25),936,125,21,Sheldon Riley,Not The Same,"57000"
2022,SF2,2 (18),480,243,8,Sheldon Riley,Not The Same,"57000"
2021,SF1,14 (16),432,28,5,Montaigne,Technicolour,"400000"
2019,F,9 (26),960,284,25,Kate Miller-Heidke,Zero Gravity,"130000"
2019,SF1,1 (17),456,261,12,Kate Miller-Heidke,Zero Gravity,"130000"
2018,F,20 (26),1008,99,16,Jessica Mauboy,We Got Love,"480000"
2018,SF2,4 (18),480,212,9,Jessica Mauboy,We Got Love,"480000"
2017,F,9 (26),984,173,14,Isaiah,Don't Come Easy,"100000"
2017,SF1,6 (18),480,160,3,Isaiah,Don't Come Easy,"1000000"
2016,F,2 (26),984,511,13,Dami Im,Sound Of Silence,"200000"
2016,SF2,1 (18),480,330,10,Dami Im,Sound Of Silence,"200000"
2015,F,5 (27),936,196,12,Guy Sebastian,Tonight Again,"1500000"
