Year,Pl.,Pl. J,Pl. T,Pl. Dif.,Pts.,Pts. J,Pts. T,Pts. Dif.,Country,Performer,Song,,,,
2026,1,1,1,0,516,204,312,108,Bulgaria,DARA,Bangaranga,,,,
2026,2,8,3,5,343,123,220,97,Israel,Noam Bettan,Michelle,,,,
2026,3,13,2,11,296,64,232,168,Romania,Alexandra Căpitănescu,Choke Me,,,,
2026,4,2,9,7,287,165,122,43,Australia,Delta Goodrem,Eclipse,,,,
2026,5,6,6,0,281,134,147,13,Italy,Sal Da Vinci,Per Sempre Sì,,,,
2026,6,5,8,3,279,141,138,3,Finland,Linda Lampenius & Pete Parkkonen,Liekinheitin,,,,
2026,7,3,11,8,243,165,78,87,Denmark,Søren Torpegaard Lund,Før Vi Går Hjem,,,,
2026,8,17,4,13,226,43,183,140,Moldova,Satoshi,"Viva, Moldova!",,,,
2026,9,15,5,10,221,54,167,113,Ukraine,LELÉKA,Ridnym,,,,
2026,10,12,7,5,220,73,147,74,Greece,Akylas,Ferto,,,,
2026,11,4,18,14,158,144,14,130,France,Monroe,Regarde !,,,,
2026,12,7,16,9,150,133,17,116,Poland,ALICJA,Pray,,,,
2026,13,14,10,4,145,60,85,25,Albania,Alis,Nân,,,,
2026,14,9,15,6,134,115,19,96,Norway,JONAS LOVV,YA YA YA,,,,
2026,15,16,12,4,124,53,71,18,Croatia,LELEK,Andromeda,,,,
2026,16,10,20,10,113,104,9,95,Czechia,Daniel Zizka,CROSSROADS,,,,
2026,17,19,13,6,90,38,52,14,Serbia,LAVINA,Kraj Mene,,,,
2026,18,11,21,10,89,81,8,73,Malta,AIDAN,Bella,,,,
2026,19,18,14,4,75,41,34,7,Cyprus,Antigoni,JALLA,,,,
2026,20,21,17,4,51,35,16,19,Sweden,FELICIA,My System,,,,
2026,21,20,23,3,36,36,0,36,Belgium,ESSYLA,Dancing on the Ice,,,,
2026,22,23,19,4,22,10,12,2,Lithuania,Lion Ceccah,Sólo Quiero Más,,,,
2026,23,22,24,2,12,12,0,12,Germany,Sarah Engels,Fire,,,,
2026,24,24,22,2,6,1,5,4,Austria,COSMÓ,Tanzschein,,,,
2026,25,25,25,0,1,1,0,1,United Kingdom,LOOK MUM NO COMPUTER,"Eins, Zwei, Drei",,,,
2025,1,1,4,3,436,258,178,80,Austria,JJ,Wasted Love,,,,
2025,2,15,1,14,357,60,297,237,Israel,Yuval Raphael,New Day Will Rise,,,,
2025,3,9,2,7,356,98,258,160,Estonia,Tommy Cash,Espresso Macchiato,,,,
2025,4,6,3,3,321,126,195,69,Sweden,KAJ,Bara Bada Bastu,,,,
2025,5,4,10,6,256,159,97,62,Italy,Lucio Corsi,Volevo Essere Un Duro,,,,
2025,6,8,8,0,231,105,126,21,Greece,Klavdia,Asteromáta,,,,
2025,7,3,14,11,230,180,50,130,France,Louane,maman,,,,
2025,8,16,5,11,218,45,173,128,Albania,Shkodra Elektronike,Zjerm,,,,
2025,9,14,6,8,218,60,158,98,Ukraine,Ziferblat,Bird of Pray,,,,
2025,10,2,25,23,214,214,0,214,Switzerland,Zoë Më,Voyage,,,,
2025,11,11,9,2,196,88,108,20,Finland,Erika Vikman,ICH KOMME,,,,
2025,12,5,15,10,175,133,42,91,Netherlands,Claude,C'est La Vie,,,,
2025,13,7,15,8,158,116,42,74,Latvia,Tautumeitas,Bur Man Laimi,,,,
2025,14,24,7,17,156,17,139,122,Poland,Justyna Steczkowska,GAJA,,,,
2025,15,13,11,2,151,77,74,3,Germany,Abor & Tynna,Baller,,,,
2025,16,20,13,7,96,34,62,28,Lithuania,Katarsis,Tavo Akys,,,,
2025,17,12,23,11,91,83,8,75,Malta,Miriana Conte,Serving,,,,
2025,18,23,12,11,89,22,67,45,Norway,Kyle Alessandro,Lighter,,,,
2025,19,10,25,15,88,88,0,88,United Kingdom,Remember Monday,What The Hell Just Happened?,,,,
2025,20,18,18,0,72,42,30,12,Armenia,PARG,SURVIVOR,,,,
2025,21,19,21,2,50,37,13,24,Portugal,NAPA,Deslocado,,,,
2025,22,22,19,3,47,23,24,1,Luxembourg,Laura Thorn,La Poupée Monte Le Son,,,,
2025,23,17,24,7,47,45,2,43,Denmark,Sissal,Hallucination,,,,
2025,24,21,22,1,37,27,10,17,Spain,Melody,ESA DIVA,,,,
2025,25,26,17,9,33,0,33,33,Iceland,VÆB,RÓA,,,,
2025,26,25,20,5,27,9,18,9,San Marino,Gabry Ponte,Tutta L'Italia,,,,
2024,1,1,5,4,591,365,226,139,Switzerland,Nemo,The Code,,,,
2024,2,3,1,2,547,210,337,127,Croatia,Baby Lasagna,Rim Tim Tagi Dim,,,,
2024,3,5,3,2,453,146,307,161,Ukraine,alyona alyona & Jerry Heil,Teresa & Maria,,,,
