Year,Points,Winner,Location,lat,lon
2026,516,Bulgaria,Vienna,48.2084,16.3738
2025,436,Austria,Basel,47.5596,7.5886
2024,591,Switzerland,Malmö,55.605,13.0038
2023,583,Sweden,Liverpool,53.4084,-2.9916
2022,631,Ukraine,Turin,45.0703,7.6869
2021,524,Italy,Rotterdam,51.9244,4.4777
2019,498,Netherlands,Tel Aviv,32.0853,34.7818
2018,529,Israel,Lisbon,38.7223,-9.1393
2017,758,Portugal,Kyiv,50.4501,30.5234
2016,534,Ukraine,Stockholm,59.3293,18.0686
2015,365,Sweden,Vienna,48.2084,16.3738
2014,290,Austria,Copenhagen,55.6761,12.5683
2013,281,Denmark,Malmö,55.605,13.0038
2012,372,Sweden,Baku,40.4093,49.8671
2011,221,Azerbaijan,Düsseldorf,51.2277,6.7735
2010,246,Germany,Oslo,59.9139,10.7522
2009,387,Norway,Moscow,55.7558,37.6176
2008,272,Russia,Belgrade,44.7866,20.4489
2007,268,Serbia,Helsinki,60.1699,24.9384
2006,292,Finland,Athens,37.9838,23.7275
2005,230,Greece,Kyiv,50.4501,30.5234
2004,280,Ukraine,Istanbul,41.0082,28.9784
2003,167,Turkey,Riga,56.9496,24.1052
2002,176,Latvia,Tallinn,59.437,24.7536
2001,198,Estonia,Copenhagen,55.6761,12.5683
2000,195,Denmark,Stockholm,59.3293,18.0686
1999,163,Sweden,Jerusalem,31.7683,35.2137
1998,172,Israel,Birmingham,52.4862,-1.8904
1997,227,United Kingdom,Dublin,53.3498,-6.2603
1996,162,Ireland,Oslo,59.9139,10.7522
1995,148,Norway,Dublin,53.3498,-6.2603
1994,226,Ireland,Dublin,53.3498,-6.2603
1993,187,Ireland,Millstreet,52.0616,-9.0602
1992,155,Ireland,Malmö,55.605,13.0038
1991,146,Sweden,Rome,41.9028,12.4964
1990,149,Italy,Zagreb,45.815,15.9819
1989,137,Yugoslavia,Lausanne,46.5197,6.6327
1988,137,Switzerland,Dublin,53.3498,-6.2603
1987,172,Ireland,Brussels,50.8503,4.3517
1986,176,Belgium,Bergen,60.3913,5.3221
1985,123,Norway,Gothenburg,57.7089,11.9746
1984,145,Sweden,Luxembourg City,49.6117,6.1319
1983,142,Luxembourg,Munich,48.1351,11.582
1982,161,Germany,Harrogate,53.9921,-1.5418
1981,136,United Kingdom,Dublin,53.3498,-6.2603
1980,143,Ireland,The Hague,52.0705,4.3007
1979,125,Israel,Jerusalem,31.7683,35.2137
1978,157,Israel,Paris,48.8566,2.3522
1977,136,France,London,51.5074,-0.1278
1976,164,United Kingdom,The Hague,52.0705,4.3007
1975,152,Netherlands,Stockholm,59.3293,18.0686
1974,24,Sweden,Brighton,50.8225,-0.1372
1973,129,Luxembourg,Luxembourg City,49.6117,6.1319
1972,128,Luxembourg,Edinburgh,55.9533,-3.1883
1971,128,Monaco,Dublin,53.3498,-6.2603
1970,32,Ireland,Amsterdam,52.3676,4.9041
1969,18,United Kingdom,Madrid,40.4168,-3.7038
1969,18,Spain,Madrid,40.4168,-3.7038
1969,18,France,Madrid,40.4168,-3.7038
1969,18,Netherlands,Madrid,40.4168,-3.7038
1968,29,Spain,London,51.5074,-0.1278
1967,47,United Kingdom,Vienna,48.2084,16.3738
1966,31,Austria,Luxembourg City,49.6117,6.1319
1965,32,Luxembourg,Naples,40.8518,14.2681
1964,49,Italy,Copenhagen,55.6761,12.5683
1963,42,Denmark,London,51.5074,-0.1278
1962,26,France,Luxembourg City,49.6117,6.1319
1961,31,Luxembourg,Cannes,43.5528,7.0174
1960,32,France,London,51.5074,-0.1278
1959,21,Netherlands,Cannes,43.5528,7.0174
1958,27,France,Hilversum,52.2292,5.1669
1957,31,Netherlands,Frankfurt,50.1109,8.6821
1956,,Switzerland,Lugano,46.0037,8.9511
