Year,Country,Points,Points J,Points T,Rank J,Rank T
2026,Bulgaria,24,12,12,1,1
2026,Croatia,7,0,7,11,4
2026,Cyprus,3,3,0,8,11
2026,Czechia,7,7,0,4,18
2026,Denmark,8,5,3,6,8
2026,Finland,14,4,10,7,2
2026,France,11,10,1,2,10
2026,Greece,10,2,8,9,3
2026,Italy,1,1,0,10,12
2026,Malta,4,0,4,19,7
2026,Moldova,5,0,5,16,6
2026,Norway,8,6,2,5,9
2026,Poland,8,8,0,3,16
2026,Romania,6,0,6,15,5
2025,Albania,4,0,4,14,7
2025,Armenia,,0,0,23,23
2025,Austria,10,7,,4,8
2025,Switzerland,1,1,0,10,24
2025,Germany,,0,0,18,12
2025,Denmark,4,4,0,7,13
2025,Estonia,9,3,6,8,5
2025,Spain,,0,0,17,15
2025,Finland,12,2,10,9,2
2025,France,,0,0,12,18
2025,United Kingdom,,0,0,13,19
2025,Greece,19,12,7,1,4
2025,Israel,12,0,12,22,1
2025,Iceland,,0,0,15,11
2025,Italy,,0,0,21,14
2025,Lithuania,,0,0,11,20
2025,Luxembourg,,0,0,16,17
2025,Latvia,12,10,2,2,9
2025,Malta,13,8,5,3,6
2025,Netherlands,,0,0,19,16
2025,Norway,,0,0,20,22
2025,Poland,6,5,1,6,10
2025,Portugal,,0,0,25,25
2025,Sweden,14,6,8,5,3
2025,San Marino,,0,0,26,26
2025,Ukraine,,0,0,24,21
2024,Armenia,1,0,1,14,10
2024,Austria,,0,0,18,15
2024,Switzerland,17,10,7,2,4
2024,Cyprus,11,6,5,5,6
2024,Germany,,0,0,13,19
2024,Estonia,,0,0,21,13
2024,Spain,,0,0,24,11
2024,Finland,7,3,4,8,7
2024,France,2,0,2,26,9
2024,United Kingdom,4,4,0,7,17
2024,Georgia,,0,0,12,24
2024,Greece,3,0,3,16,8
2024,Croatia,18,8,10,3,2
2024,Ireland,20,12,8,1,3
2024,Israel,12,0,12,20,1
2024,Italy,7,7,0,4,14
2024,Lithuania,,0,0,22,12
2024,Luxembourg,2,2,0,9,16
2024,Latvia,,0,0,25,21
2024,Norway,,0,0,17,18
2024,Portugal,,0,0,15,23
2024,Serbia,,0,0,19,22
2024,Sweden,5,5,0,6,20
2024,Slovenia,,0,0,23,25
2024,Ukraine,7,1,6,10,5
2023,Albania,0,0,0,16,25
2023,Armenia,0,0,0,20,23
2023,Austria,13,6,7,5,4
2023,Belgium,15,12,3,1,8
2023,Switzerland,0,0,0,21,22
2023,Cyprus,11,3,8,8,3
2023,Czechia,0,0,0,23,12
2023,Germany,0,0,0,18,11
2023,Estonia,8,8,0,3,20
2023,Spain,4,4,0,7,21
2023,Finland,17,5,12,6,1
2023,France,2,0,2,12,9
2023,United Kingdom,0,0,0,19,14
2023,Croatia,4,0,4,14,7
2023,Israel,5,0,5,11,6
2023,Italy,1,1,0,10,13
2023,Lithuania,10,10,0,2,15
2023,Moldova,0,0,0,24,17
2023,Norway,6,0,6,22,5
2023,Poland,0,0,0,17,24
2023,Portugal,2,2,0,9,19
2023,Serbia,0,0,0,25,18
2023,Sweden,17,7,10,4,2
2023,Slovenia,1,0,1,13,10
2023,Ukraine,0,0,0,15,16
2022,Armenia,0,0,0,21,20
2022,Azerbaijan,2,2,0,9,23
2022,Belgium,5,5,0,6,21
2022,Switzerland,0,0,0,12,24
2022,Czechia,4,4,0,7,18
2022,Germany,0,0,0,11,22
2022,Estonia,1,1,0,10,14
2022,Spain,18,12,6,1,5
2022,Finland,0,0,0,19,15
2022,France,0,0,0,24,13
2022,United Kingdom,7,0,7,15,4
2022,Greece,0,0,0,20,11
2022,Iceland,0,0,0,17,19
2022,Italy,4,3,1,8,10
2022,Lithuania,2,0,2,14,9
2022,Moldova,4,0,4,13,7
2022,Netherlands,0,0,0,23,12
2022,Norway,10,0,10,18,2
2022,Poland,3,0,3,22,8
2022,Portugal,6,6,0,5,16
2022,Romania,0,0,0,16,17
2022,Serbia,16,8,8,3,3
2022,Sweden,15,10,5,2,6
2022,Ukraine,19,7,12,4,1
2021,Albania,0,0,0,26,24
2021,Azerbaijan,0,0,0,21,17
2021,Belgium,0,0,0,25,23
2021,Bulgaria,2,2,0,9,16
2021,Switzerland,15,10,5,2,6
2021,Cyprus,4,4,0,7,14
2021,Germany,0,0,0,22,19
2021,Spain,0,0,0,19,26
2021,Finland,3,0,3,18,8
2021,France,11,7,4,4,7
2021,United Kingdom,0,0,0,20,21
2021,Greece,0,0,0,13,11
2021,Israel,0,0,0,14,15
2021,Iceland,20,8,12,3,1
2021,Italy,13,6,7,5,4
2021,Lithuania,6,0,6,11,5
2021,Moldova,0,0,0,24,25
2021,Malta,20,12,8,1,3
2021,Netherlands,3,3,0,8,22
2021,Norway,1,0,1,23,10
2021,Portugal,0,0,0,15,18
2021,Serbia,2,0,2,12,9
2021,Russia,1,1,0,10,12
2021,Sweden,0,0,0,16,20
2021,San Marino,0,0,0,17,13
2021,Ukraine,15,5,10,6,2
2019,Albania,0,0,0,21,23
2019,Azerbaijan,3,2,1,9,10
2019,Belarus,0,0,0,23,21
2019,Switzerland,7,0,7,14,4
2019,Cyprus,0,0,0,20,14
2019,Czechia,7,5,2,6,9
2019,Germany,3,3,0,8,25
2019,Denmark,0,0,0,17,17
2019,Estonia,0,0,0,25,12
2019,Spain,0,0,0,15,11
2019,France,13,10,3,2,8
2019,United Kingdom,0,0,0,24,22
2019,Greece,0,0,0,11,15
2019,Israel,0,0,0,13,20
2019,Iceland,18,8,10,3,2
2019,Italy,5,0,5,16,6
2019,North Macedonia,7,7,0,4,13
2019,Malta,4,0,4,18,7
2019,Netherlands,12,6,6,5,5
2019,Norway,12,0,12,12,1
2019,Serbia,1,1,0,10,19
2019,Russia,4,4,0,7,16
2019,Sweden,20,12,8,1,3
2019,Slovenia,0,0,0,19,24
2019,San Marino,0,0,0,22,18
2018,Albania,0,0,0,0,0
2018,Austria,5,5,0,6,0
2018,Bulgaria,0,0,0,0,0
2018,Cyprus,7,0,7,0,4
2018,Czechia,4,1,3,10,8
2018,Germany,12,10,2,2,9
2018,Denmark,10,0,10,0,2
2018,Estonia,8,8,0,3,0
2018,Spain,7,7,0,4,0
2018,Finland,4,0,4,0,7
2018,France,0,0,0,0,0
2018,United Kingdom,6,0,6,0,5
2018,Hungary,0,0,0,0,0
2018,Ireland,12,4,8,7,3
2018,Israel,18,6,12,5,1
2018,Italy,0,0,0,0,0
2018,Lithuania,3,3,0,8,0
2018,Moldova,7,2,5,9,6
2018,Netherlands,0,0,0,0,0
2018,Norway,1,0,1,0,10
2018,Portugal,0,0,0,0,0
2018,Serbia,0,0,0,0,0
2018,Sweden,12,12,0,1,0
2018,Slovenia,0,0,0,0,0
2018,Ukraine,0,0,0,0,0
2017,Armenia,1,1,0,10,15
2017,Austria,3,3,0,8,19
2017,Azerbaijan,0,0,0,11,21
2017,Belgium,4,0,4,14,7
2017,Bulgaria,13,8,5,3,6
2017,Belarus,0,0,0,16,14
2017,Cyprus,0,0,0,23,20
2017,Germany,0,0,0,17,23
2017,Denmark,13,5,8,6,3
2017,Spain,0,0,0,25,25
2017,France,0,0,0,18,18
2017,United Kingdom,15,12,3,1,8
2017,Greece,0,0,0,22,16
2017,Croatia,1,0,1,24,10
2017,Hungary,0,0,0,20,12
2017,Israel,0,0,0,19,17
2017,Italy,2,0,2,13,9
2017,Moldova,22,10,12,2,1
2017,Netherlands,4,4,0,7,11
2017,Norway,0,0,0,15,13
2017,Poland,2,2,0,9,22
2017,Portugal,14,7,7,4,4
2017,Romania,10,0,10,12,2
2017,Sweden,12,6,6,5,5
2017,Ukraine,0,0,0,21,24
2016,Armenia,0,0,0,13,12
2016,Austria,3,0,3,24,8
2016,Azerbaijan,0,0,0,12,22
2016,Belgium,24,12,12,1,1
2016,Bulgaria,18,8,10,3,2
2016,Cyprus,0,0,0,20,13
2016,Czechia,0,0,0,16,25
2016,Germany,0,0,0,14,21
2016,Spain,7,5,2,6,9
2016,France,13,6,7,5,4
2016,United Kingdom,8,4,4,7,7
2016,Georgia,0,0,0,25,24
2016,Croatia,1,1,0,10,18
2016,Hungary,0,0,0,19,19
2016,Israel,10,10,0,2,14
2016,Italy,0,0,0,17,23
2016,Lithuania,8,7,1,4,10
2016,Latvia,0,0,0,15,11
2016,Malta,6,0,6,21,5
2016,Netherlands,3,3,0,8,16
2016,Poland,0,0,0,22,15
2016,Serbia,0,0,0,11,17
2016,Russia,5,0,5,18,6
2016,Sweden,0,0,0,23,20
2016,Ukraine,10,2,8,9,3
