Year,Voting Country,Points,Points J,Points T,Rank J,Rank T,
2026,Armenia,22,12,10,1,2,
2026,Israel,22,12,10,1,2,
2026,Malta,18,8,10,3,2,
2026,Austria,17,7,10,4,2,
2026,United Kingdom,10,3,7,8,4,
2026,Sweden,14,8,6,3,5,
2026,Norway,13,7,6,4,5,
2026,Azerbaijan,5,0,5,11,6,
2026,Estonia,5,0,5,13,6,
2026,San Marino,5,0,5,12,6,
2026,Switzerland,11,6,5,5,6,
2026,Denmark,9,4,5,7,6,
2026,Poland,12,7,5,4,6,
2026,Cyprus,10,5,5,6,6,
2026,Portugal,4,0,4,14,5,
2026,Albania,5,1,4,10,5,
2026,Croatia,11,7,4,4,5,
2026,Greece,10,7,3,4,8,
2026,Serbia,5,2,3,9,8,
2026,Georgia,2,0,2,13,9,
2026,Rest of world,2,,2,,9,
2026,Lithuania,2,0,2,16,9,
2026,Montenegro,1,0,1,11,10,
2026,Belgium,11,10,1,2,10,
2026,Italy,1,0,1,12,10,
2026,Romania,13,12,1,1,10,
2026,Latvia,0,0,0,16,14,
2026,Luxembourg,10,10,0,2,13,
2026,Germany,5,5,0,6,11,
2026,Ukraine,2,2,0,9,16,
2026,Czechia,6,6,0,5,12,
2026,Bulgaria,8,8,0,3,13,
2026,France,5,5,0,6,11,
2026,Moldova,4,4,0,7,11,
2026,Finland,7,7,0,4,13,
2023,Iceland,15,12,3,1,8,
2023,Estonia,14,8,6,3,5,
2023,Portugal,12,12,0,1,18,
2023,United Kingdom,12,10,2,2,9,
2023,Cyprus,8,8,0,3,22,
2023,Finland,8,0,8,13,3,
2023,Germany,8,8,0,3,14,
2023,Ukraine,8,8,0,3,13,
2023,Czechia,7,7,0,4,22,
2023,Azerbaijan,5,5,0,6,23,
2023,Greece,5,5,0,6,23,
2023,Moldova,5,5,0,6,16,
2023,Norway,5,5,0,6,15,
2023,San Marino,5,5,0,6,23,
2023,Belgium,4,4,0,7,19,
2023,Ireland,4,4,0,7,16,
2023,Lithuania,4,4,0,7,11,
2023,Poland,4,4,0,7,19,
2023,Slovenia,4,4,0,7,19,
2023,Albania,3,3,0,8,24,
2023,Romania,3,3,0,8,18,
2023,Denmark,2,2,0,9,11,
2023,Georgia,2,2,0,9,17,
2023,Switzerland,2,2,0,9,21,
2023,Netherlands,1,0,1,17,10,
2023,Sweden,1,0,1,14,10,
2023,Armenia,0,0,0,15,24,
2023,Austria,0,0,0,15,17,
2023,Croatia,0,0,0,18,18,
2023,France,0,0,0,15,23,
2023,Israel,0,0,0,19,11,
2023,Italy,0,0,0,18,23,
2023,Latvia,0,0,0,17,13,
2023,Malta,0,0,0,13,23,
2023,Rest of world,0,,0,,0,
2023,Serbia,0,0,0,23,22,
2023,Spain,0,0,0,14,22,
2022,Sweden,10,10,0,2,15,
2022,Cyprus,8,8,0,3,16,
2022,Estonia,8,8,0,3,22,
2022,Finland,8,8,0,3,11,
2022,Greece,8,8,0,3,13,
2022,Spain,8,8,0,3,20,
2022,Netherlands,7,7,0,4,14,
2022,Malta,6,6,0,5,12,
2022,Moldova,6,6,0,5,23,
2022,Poland,6,6,0,5,,
2022,Romania,6,6,0,5,,
2022,San Marino,6,6,0,5,,
2022,United Kingdom,6,6,0,5,19,
2022,Germany,5,5,0,6,20,
2022,Israel,5,5,0,6,18,
2022,North Macedonia,5,5,0,6,23,
2022,Switzerland,4,4,0,7,18,
2022,Ukraine,3,3,0,8,20,
2022,Azerbaijan,2,0,2,,9,
2022,Ireland,2,2,0,9,17,
2022,Italy,2,2,0,9,21,
2022,Latvia,2,2,0,9,18,
2022,Belgium,1,1,0,10,17,
2022,Czechia,1,1,0,10,16,
2022,Albania,0,0,0,13,21,
2022,Armenia,0,0,0,22,21,
2022,Austria,0,0,0,18,20,
2022,Bulgaria,0,0,0,12,18,
2022,Croatia,0,0,0,20,22,
2022,Denmark,0,0,0,19,17,
2022,France,0,0,0,15,18,
2022,Georgia,0,0,0,,,
2022,Iceland,0,0,0,11,17,
2022,Lithuania,0,0,0,12,21,
2022,Montenegro,0,0,0,,,
2022,Norway,0,0,0,13,21,
2022,Portugal,0,0,0,22,21,
2022,Serbia,0,0,0,14,20,
2022,Slovenia,0,0,0,15,23,
2019,Iceland,20,10,10,2,2,
2019,Poland,18,12,6,1,5,
2019,United Kingdom,18,8,10,3,2,
2019,Finland,16,10,6,2,5,
2019,Germany,15,10,5,2,6,
2019,Spain,15,10,5,2,6,
2019,Ireland,14,4,10,7,2,
2019,Romania,14,12,2,1,9,
2019,Italy,12,6,6,5,5,
2019,Israel,11,5,6,6,5,
2019,Portugal,11,7,4,4,7,
2019,Sweden,11,6,5,5,6,
2019,France,10,4,6,7,5,
2019,Moldova,10,10,0,2,11,
2019,North Macedonia,10,10,0,2,13,
2019,Belgium,8,4,4,7,7,
2019,Czechia,8,0,8,15,3,
2019,Serbia,7,7,0,4,11,
2019,Latvia,6,0,6,16,5,
2019,Greece,5,2,3,9,8,
2019,Montenegro,4,4,0,7,15,
2019,Netherlands,4,2,2,9,9,
2019,Norway,4,0,4,12,7,
2019,Russia,4,0,4,15,7,
2019,Switzerland,4,4,0,7,13,
2019,Albania,3,2,1,9,10,
2019,Austria,3,0,3,13,8,
2019,Lithuania,3,2,1,9,10,
2019,Malta,3,0,3,11,8,
2019,Azerbaijan,2,2,0,9,11,
2019,Belarus,2,0,2,0,9,
2019,Cyprus,2,0,2,15,9,
2019,Denmark,2,0,2,22,9,
2019,Estonia,2,0,2,14,9,
